name,online_order,book_table,rate,votes,location,cost_two,dining_type,cuisines
Chaatimes,Yes,No,3.8,133,Basavanagudi,200.0,Delivery,"Street Food, Fast Food"
Havyaka Mess,No,No,3.9,28,Banashankari,300.0,Delivery,South Indian
McDonald's,Yes,No,3.9,286,Banashankari,500.0,Delivery,"Burger, Fast Food"
Domino's Pizza,Yes,No,3.9,540,Banashankari,800.0,Delivery,"Pizza, Fast Food"
Onesta,Yes,Yes,4.6,2556,Banashankari,600.0,Delivery,"Pizza, Cafe, Italian"
Hotboxit,No,No,3.8,36,Banashankari,400.0,Delivery,"North Indian, Continental, Italian"
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,300.0,Delivery,"North Indian, Chinese"
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,450.0,Delivery,"North Indian, Chinese, Biryani, Rolls"
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,850.0,Delivery,"Chinese, Thai"
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,300.0,Delivery,"North Indian, Chinese, Momos, Rolls"
Petoo,No,No,3.7,21,Banashankari,450.0,Delivery,North Indian
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,150.0,Delivery,"Fast Food, Street Food, Beverages"
Corner House Ice Cream,No,No,4.3,345,Banashankari,400.0,Delivery,"Ice Cream, Desserts"
Biryanis And More,Yes,No,4.0,618,Jayanagar,750.0,Delivery,"Biryani, North Indian, Chinese, Andhra, South Indian"
Roving Feast,No,No,4.0,1047,Banashankari,450.0,Delivery,"Italian, Continental, Fast Food, Chinese, Momos"
FreshMenu,Yes,No,3.9,627,Banashankari,450.0,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,300.0,Delivery,"Biryani, Fast Food"
Wamama,Yes,Yes,4.2,354,Banashankari,800.0,Delivery,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
Five Star Chicken,No,No,3.6,55,Banashankari,200.0,Delivery,"Fast Food, Burger"
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,400.0,Delivery,"Desserts, Beverages"
Peppy Peppers,No,No,4.2,244,Banashankari,800.0,Delivery,"Italian, North Indian, Mexican"
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,800.0,Delivery,"Goan, Seafood, North Indian, Chinese, Biryani"
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,150.0,Delivery,Chinese
1947,No,Yes,4.0,808,Banashankari,850.0,Delivery,"North Indian, Chinese"
Cake of the Day,No,No,3.7,78,Banashankari,150.0,Delivery,Bakery
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,400.0,Delivery,"North Indian, Kebab, Chinese, Fast Food"
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,100.0,Delivery,South Indian
Gustoes Beer House,No,No,4.1,868,Banashankari,1200.0,Delivery,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
Sugar Rush,No,No,3.8,39,Banashankari,300.0,Delivery,"Bakery, Desserts"
Burger King,Yes,No,3.2,71,Basavanagudi,600.0,Delivery,"Burger, Fast Food, Beverages"
The Good Bowl,Yes,No,3.6,6,Banashankari,500.0,Delivery,"Italian, North Indian, Biryani"
The Biryani Cafe,No,No,4.1,520,Banashankari,300.0,Delivery,"Biryani, Chinese, Kebab"
LSD Cafe,No,No,2.9,84,Banashankari,700.0,Delivery,"Chinese, Continental, Italian, North Indian"
Rolls On Wheels,No,No,3.6,299,Banashankari,300.0,Delivery,"Fast Food, Rolls, Momos"
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,150.0,Delivery,South Indian
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,300.0,Delivery,"Biryani, South Indian"
Kolbeh,No,No,3.7,22,Banashankari,500.0,Delivery,Fast Food
Upahar Sagar,No,No,3.8,39,Banashankari,350.0,Delivery,"South Indian, Chinese, North Indian"
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,500.0,Delivery,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab"
Frozen Bottle,Yes,No,4.2,146,Banashankari,400.0,Delivery,"Beverages, Desserts, Ice Cream"
Parimala Sweets,No,No,3.5,14,Banashankari,200.0,Delivery,"Mithai, Street Food"
Vaishali Deluxe,No,No,3.8,42,Banashankari,700.0,Delivery,"North Indian, Chinese"
The Big O Bakes,No,No,4.0,66,Banashankari,300.0,Delivery,"Bakery, Desserts"
Meghana Foods,Yes,No,4.4,4401,Jayanagar,600.0,Delivery,"Biryani, North Indian, Chinese"
Krishna Sagar,No,No,3.5,31,Banashankari,200.0,Delivery,North Indian
Dessert Rose,No,No,3.5,7,Banashankari,500.0,Delivery,Desserts
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,250.0,Delivery,Biryani
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,300.0,Delivery,Ice Cream
Nandhini Deluxe,No,No,2.6,283,Banashankari,600.0,Delivery,North Indian
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,800.0,Delivery,"South Indian, North Indian, Chinese"
Kaggis,No,No,3.8,64,Banashankari,250.0,Delivery,"Fast Food, Bakery"
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,950.0,Delivery,"North Indian, Iranian"
Chatar Patar,No,No,3.7,65,Banashankari,300.0,Delivery,"Fast Food, Street Food"
Polar Bear,Yes,No,3.8,71,Basavanagudi,400.0,Delivery,"Ice Cream, Desserts, Beverages, Sandwich"
Kidambi's Kitchen,No,No,3.5,52,Banashankari,300.0,Delivery,South Indian
Mane Thindi,No,No,3.7,130,Banashankari,200.0,Delivery,South Indian
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,300.0,Delivery,"South Indian, Biryani"
Floured-Baked With Love,No,No,3.8,45,Banashankari,400.0,Delivery,Bakery
CAFE NOVA,No,No,3.2,11,Banashankari,600.0,Delivery,"Cafe, Bakery"
Cakes & Slices,No,No,3.5,13,Banashankari,300.0,Delivery,"Bakery, Desserts"
Spice 9,No,No,3.4,8,Banashankari,300.0,Delivery,"Biryani, North Indian, Chinese, Fast Food"
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,300.0,Delivery,Biryani
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,300.0,Delivery,North Indian
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,150.0,Delivery,North Indian
Just Bake,No,No,3.4,8,Banashankari,400.0,Delivery,"Bakery, Desserts"
K27 - The Pub,No,No,3.1,30,Banashankari,1000.0,Delivery,"Chinese, North Indian"
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,300.0,Delivery,"South Indian, North Indian, Chinese, Street Food"
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,200.0,Delivery,"Mangalorean, South Indian, North Indian"
Coffee Bytes,No,No,3.1,6,Banashankari,100.0,Delivery,"Fast Food, South Indian"
Parjanya Chat Zone,No,No,3.3,17,Banashankari,200.0,Delivery,"Street Food, Fast Food"
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,200.0,Delivery,"Ice Cream, Desserts"
Ruchi Maayaka,No,No,3.3,8,Banashankari,100.0,Delivery,South Indian
Anna Kuteera,Yes,No,4.0,771,Banashankari,450.0,Delivery,"South Indian, North Indian, Chinese"
Darbar,No,No,3.0,98,Banashankari,800.0,Delivery,"North Indian, Chinese"
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,200.0,Delivery,South Indian
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,500.0,Delivery,"South Indian, North Indian, Chinese, Beverages"
Udupi Upahar,Yes,No,3.8,58,Banashankari,300.0,Delivery,"South Indian, Chinese, North Indian, Juices"
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,650.0,Delivery,"North Indian, Kebab, Biryani, Chinese"
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,400.0,Delivery,"Chinese, North Indian, Mughlai, Rolls"
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,500.0,Delivery,"North Indian, Mughlai, Fast Food"
KFC,Yes,No,3.8,505,Banashankari,450.0,Delivery,"Burger, Fast Food"
Roll Over,Yes,No,4.1,438,Jayanagar,500.0,Delivery,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,750.0,Delivery,"North Indian, Chinese, Biryani, Beverages"
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,150.0,Delivery,"Beverages, Juices, Ice Cream"
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,250.0,Delivery,"North Indian, Chinese"
Wahab,Yes,No,3.7,97,Jayanagar,350.0,Delivery,"North Indian, Mughlai, Chinese"
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,300.0,Delivery,Biryani
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,300.0,Delivery,Biryani
Canton,Yes,No,3.6,195,Jayanagar,800.0,Delivery,"Chinese, Seafood, Biryani"
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,300.0,Delivery,"Desserts, Mithai"
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,400.0,Delivery,"Cafe, Beverages"
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,150.0,Delivery,"South Indian, Chinese"
Patio 805,Yes,Yes,4.1,364,Jayanagar,1200.0,Delivery,"Thai, Vietnamese, Asian, Chinese"
Lassi Corner,Yes,No,3.7,107,Basavanagudi,150.0,Delivery,"Beverages, Ice Cream"
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,300.0,Delivery,"South Indian, North Indian, Chinese, Juices"
Kanti Sweets,Yes,No,4.0,115,Banashankari,400.0,Delivery,"Mithai, Street Food"
Vegetalia,Yes,No,3.7,27,Banashankari,400.0,Delivery,"Italian, Pizza"
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,200.0,Delivery,Biryani
Ande Ka Funda,Yes,No,3.8,120,Banashankari,250.0,Delivery,"North Indian, Fast Food, Rolls"
Cake Ghar,Yes,No,3.8,15,Basavanagudi,400.0,Delivery,Bakery
Energy Addaa,Yes,No,4.2,64,Basavanagudi,500.0,Delivery,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,150.0,Delivery,South Indian
Tandoori Knight,Yes,No,3.0,290,Banashankari,450.0,Delivery,"North Indian, Chinese, Biryani, Kebab"
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,200.0,Delivery,Street Food
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,250.0,Delivery,"Fast Food, Pizza"
Paradise Premium,Yes,No,3.1,119,Banashankari,700.0,Delivery,"Biryani, Andhra, Hyderabadi, North Indian"
Grazers,Yes,Yes,3.9,291,Jayanagar,650.0,Delivery,"Cafe, Burger, Continental, Italian, Desserts"
Shakes Theory,Yes,No,4.5,155,Jayanagar,300.0,Delivery,"Beverages, Sandwich"
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,700.0,Delivery,Italian
Chilli Flakes,Yes,No,3.6,46,Banashankari,500.0,Delivery,"Fast Food, Italian, Beverages"
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,350.0,Delivery,"Bengali, Chinese, Sandwich"
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,150.0,Delivery,Ice Cream
Donne Biriyani House,Yes,No,3.9,441,Banashankari,400.0,Delivery,"South Indian, North Indian, Chinese, Biryani"
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,100.0,Delivery,South Indian
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,200.0,Delivery,"North Indian, Street Food, Juices"
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,150.0,Delivery,South Indian
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,300.0,Delivery,Arabian
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,350.0,Delivery,North Indian
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,100.0,Delivery,South Indian
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,500.0,Delivery,Cafe
Gokul Veg,Yes,No,3.8,469,Basavanagudi,750.0,Delivery,"North Indian, Chinese, Beverages"
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,550.0,Delivery,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts"
Udupi Ruchi,Yes,No,3.9,57,Banashankari,200.0,Delivery,"South Indian, North Indian, Chinese, Street Food"
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,300.0,Delivery,South Indian
Gama Gama,Yes,No,3.9,264,Banashankari,200.0,Delivery,South Indian
The Vintage Cafe,Yes,No,3.0,62,Banashankari,400.0,Delivery,"Cafe, French, North Indian"
Pizza Hut,Yes,No,3.8,693,Banashankari,750.0,Delivery,"Pizza, Fast Food"
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,650.0,Delivery,"Mangalorean, Seafood, Chinese, Biryani"
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,250.0,Delivery,Fast Food
Twiststick House,Yes,No,4.1,163,Basavanagudi,500.0,Delivery,"Continental, Fast Food, Street Food, Momos"
Cool Corner,Yes,No,4.2,191,Basavanagudi,250.0,Delivery,"Street Food, Fast Food"
Pizza Mane,Yes,No,3.5,32,Banashankari,150.0,Delivery,"Pizza, Sandwich, Burger, Fast Food"
Dal Tadkaa,Yes,No,2.5,247,Banashankari,500.0,Delivery,North Indian
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,1500.0,Delivery,"North Indian, Chinese, BBQ"
Mystique Palate,Yes,No,4.1,337,Jayanagar,300.0,Delivery,"Chinese, Fast Food"
Thamboola,Yes,No,3.9,135,Banashankari,800.0,Delivery,"North Indian, Chinese, Continental"
Castle Rock,Yes,No,3.6,172,Uttarahalli,700.0,Delivery,"North Indian, Chinese"
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,700.0,Delivery,Vietnamese
Smacznego,Yes,No,4.2,504,Banashankari,550.0,Delivery,"Cafe, Mexican, Italian, Momos, Beverages"
C Corner,Yes,No,3.2,36,Kumaraswamy Layout,200.0,Delivery,"Fast Food, Street Food"
Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,300.0,Delivery,North Indian
North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,500.0,Delivery,"North Indian, Chinese, Biryani, Kebab"
Toscano,Yes,Yes,4.3,1129,Jayanagar,1300.0,Delivery,"Italian, Salad"
Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,350.0,Delivery,"North Indian, Chinese"
Stoned Monkey,Yes,No,4.3,860,Banashankari,500.0,Delivery,"Desserts, Ice Cream"
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,700.0,Delivery,"Andhra, Seafood, North Indian, Chinese"
Bella,Yes,Yes,3.9,142,Jayanagar,1000.0,Delivery,"Mangalorean, Seafood, South Indian"
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,400.0,Delivery,Andhra
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,750.0,Delivery,"South Indian, Biryani, Chinese, North Indian"
The Grillo,Yes,Yes,2.8,80,Jayanagar,500.0,Delivery,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean"
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,400.0,Delivery,South Indian
Karma Kaapi,Yes,No,4.4,181,Jayanagar,250.0,Delivery,"Beverages, Tea"
Tiwari's,Yes,No,3.8,70,Jayanagar,200.0,Delivery,"North Indian, Street Food"
Pizza Stop,Yes,No,3.8,164,Basavanagudi,600.0,Delivery,"Pizza, Italian"
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,650.0,Delivery,"Cafe, Burger, Beverages"
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,550.0,Delivery,"North Indian, Cafe, Chinese, Fast Food"
Kollapuri's,No,No,3.9,206,Basavanagudi,450.0,Delivery,"South Indian, Mangalorean"
Kadamba Classic,No,No,3.6,16,Mysore Road,300.0,Delivery,South Indian
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,450.0,Delivery,"North Indian, Chinese, South Indian, Fast Food, Juices"
Kholi Mane,No,No,3.6,46,Basavanagudi,450.0,Delivery,"Andhra, South Indian, Biryani, North Indian"
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,150.0,Delivery,"Fast Food, Street Food"
Cake Yard,No,No,3.4,30,Basavanagudi,250.0,Delivery,Desserts
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,800.0,Delivery,"North Indian, South Indian, Andhra, Chinese"
Sri Udupi Veg,No,No,3.3,4,Jayanagar,250.0,Delivery,South Indian
Cake Art,No,No,3.5,15,Basavanagudi,400.0,Delivery,Bakery
Potato House,Yes,No,3.4,9,Uttarahalli,200.0,Delivery,Street Food
Matru Sagar,Yes,No,3.7,31,Mysore Road,300.0,Delivery,"South Indian, North Indian"
Ugadi,Yes,No,2.9,177,Jayanagar,700.0,Delivery,"North Indian, Chinese, Biryani, Andhra, Mangalorean"
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,250.0,Delivery,"Mithai, Desserts"
In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,100.0,Delivery,"Juices, Beverages"
Subway,Yes,No,3.7,136,Banashankari,600.0,Delivery,"Salad, Fast Food"
Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,250.0,Delivery,"North Indian, Chinese"
The Lassi Park,Yes,No,4.1,185,Jayanagar,200.0,Delivery,"Juices, Desserts"
Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,900.0,Delivery,"Cafe, Fast Food"
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,400.0,Delivery,"South Indian, North Indian, Chinese, Street Food"
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,300.0,Delivery,"South Indian, North Indian, Chinese"
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,600.0,Delivery,North Indian
Green Gardenia,Yes,No,3.8,160,Banashankari,700.0,Delivery,"North Indian, Chinese"
J Spice,Yes,No,3.8,59,Banashankari,750.0,Delivery,"North Indian, Chinese"
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,500.0,Delivery,"Seafood, Biryani, South Indian, North Indian, Chinese"
Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,350.0,Delivery,"South Indian, Mangalorean"
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,200.0,Delivery,"South Indian, Beverages"
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,250.0,Delivery,"Fast Food, Rolls"
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,600.0,Delivery,"North Indian, Chinese, South Indian, Fast Food"
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,200.0,Delivery,Fast Food
Anda Ka Funda,Yes,No,3.4,89,Jayanagar,250.0,Delivery,"North Indian, Chinese, Rolls"
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,150.0,Delivery,"Beverages, Fast Food"
My Tea House,Yes,No,3.6,62,Banashankari,600.0,Delivery,"Italian, Fast Food, Cafe, European"
Ibaco,Yes,No,3.9,33,Jayanagar,300.0,Delivery,Desserts
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,250.0,Delivery,"Desserts, Mithai"
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,550.0,Delivery,"North Indian, Chinese, South Indian"
Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,300.0,Delivery,Fast Food
Cocoa Bakes,Yes,No,3.6,14,Banashankari,350.0,Delivery,"Bakery, Desserts"
Chumma Delicious,Yes,No,3.7,237,Banashankari,200.0,Delivery,"South Indian, Fast Food"
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,650.0,Delivery,"Biryani, North Indian, Seafood, Andhra"
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,500.0,Delivery,"South Indian, Chinese, Street Food, Juices"
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,1200.0,Delivery,"North Indian, Afghani, Mughlai"
Cafe Vivacity,Yes,No,3.8,90,Banashankari,650.0,Delivery,Cafe
Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,250.0,Delivery,"Italian, Chinese, Street Food"
Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,400.0,Delivery,"South Indian, North Indian"
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,600.0,Delivery,Pizza
Iceberg Icecreams,Yes,No,4.0,43,Basavanagudi,250.0,Delivery,"Desserts, Ice Cream"
South Kitchen,Yes,No,4.3,275,Basavanagudi,100.0,Delivery,South Indian
Chung Wah,Yes,No,3.7,323,Jayanagar,850.0,Delivery,"Chinese, Thai, Momos"
Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,400.0,Delivery,"South Indian, North Indian, Chinese"
Millet Mama,Yes,No,3.9,18,Basavanagudi,200.0,Delivery,"South Indian, Healthy Food"
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,100.0,Delivery,"Street Food, Fast Food"
Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,400.0,Delivery,South Indian
Java City,Yes,No,2.6,157,Jayanagar,450.0,Delivery,"Cafe, American, Pizza"
Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,300.0,Delivery,"South Indian, Fast Food"
Woodee Pizza,Yes,No,3.7,180,Banashankari,500.0,Delivery,"Cafe, Pizza, Fast Food, Beverages"
Puliyogare Point,Yes,No,4.2,444,Basavanagudi,100.0,Delivery,South Indian
Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,400.0,Delivery,"Street Food, North Indian, South Indian"
Rustic Stove,Yes,No,3.8,577,Jayanagar,900.0,Delivery,"North Indian, South Indian, Biryani, Beverages"
Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,200.0,Delivery,"South Indian, North Indian, Chinese, Street Food"
De Thaali,Yes,No,3.9,144,Jayanagar,550.0,Delivery,"North Indian, Chinese, Rolls"
Spice Elephant,Yes,No,4.1,787,Banashankari,800.0,Delivery,"Chinese, North Indian, Thai"
Just Thindi,Yes,No,3.6,16,Basavanagudi,200.0,Delivery,South Indian
Matru Sagar,Yes,No,3.6,84,Banashankari,250.0,Delivery,"South Indian, North Indian, Chinese"
Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,150.0,Delivery,"South Indian, Street Food"
Sea Spice by 7 Star,Yes,Yes,4.0,349,Banashankari,1200.0,Delivery,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab"
Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,400.0,Delivery,"North Indian, Fast Food"
Cafe Aira,Yes,No,4.1,216,Basavanagudi,500.0,Delivery,"Cafe, Continental, Beverages, Desserts"
Penthouse Cafe,Yes,No,4.0,324,Banashankari,700.0,Delivery,"Cafe, Italian, Continental"
Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,400.0,Delivery,"North Indian, Chinese, Rolls, Biryani, Kebab"
South Grand,Yes,No,3.4,102,Uttarahalli,400.0,Delivery,"South Indian, North Indian, Chinese, Beverages"
